month,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202201,59.604166666666664,59.890151515151516,58.702651515151516,60.047348484848484,58.296401515151516,61.8125,59.61931818181818,57.0625,64.98674242424242,57.22159090909091,58.86363636363637,57.36742424242424,51.69886363636363,59.990530303030305,49.41856060606061,52.416666666666664,52.14393939393939,52.020833333333336,51.05492424242424,51.96022727272727,51.61363636363637,56.15719696969697,57.60037878787879,57.13257575757576,58.770833333333336,61.972537878787875,65.67424242424242,62.66287878787879,65.4280303030303,66.04924242424242,73.2784090909091,56.69223484848485,56.94886363636363,62.50757575757576,58.05397727272727
202202,39.971354166666664,40.533854166666664,40.140625,42.225260416666664,40.890625,41.138020833333336,39.729166666666664,39.057291666666664,42.080729166666664,40.748697916666664,39.223958333333336,37.703125,35.8046875,37.794270833333336,36.016927083333336,36.203125,36.721354166666664,36.09765625,37.09375,36.4765625,35.549479166666664,42.393229166666664,42.588541666666664,38.296875,39.6953125,40.0,40.489583333333336,39.015625,42.078125,41.6796875,49.470052083333336,39.161458333333336,38.283854166666664,42.3984375,40.220052083333336
202203,69.62896825396825,68.39285714285714,70.76686507936508,72.15575396825396,70.44940476190476,70.76587301587301,70.5436507936508,69.74603174603175,76.33035714285714,71.75,73.14484126984127,70.69642857142857,66.72718253968254,68.81349206349206,63.36309523809524,63.58134920634921,62.57539682539682,64.42063492063492,61.68650793650794,60.50396825396825,60.18452380952381,65.46329365079364,64.22222222222223,65.19444444444444,69.0813492063492,70.21825396825396,73.73015873015873,68.59126984126983,71.87202380952381,70.87896825396825,72.10416666666667,71.93253968253968,71.58730158730158,71.29761904761905,70.03075396825396
202204,64.8578431372549,60.33210784313726,62.193627450980394,62.81617647058823,63.0514705882353,62.33946078431372,64.37867647058823,64.68872549019608,68.89950980392157,63.419117647058826,66.90073529411765,69.59803921568627,58.970588235294116,65.05269607843137,55.38235294117647,57.50857843137255,52.80024509803921,58.166666666666664,58.21568627450981,56.5735294117647,56.04656862745098,62.502450980392155,58.8860294117647,64.78676470588235,68.63235294117646,73.67156862745098,67.14338235294117,65.01102941176471,61.21446078431372,60.625,69.96323529411765,67.57598039215686,67.04656862745098,71.34803921568627,62.893382352941174
202205,53.53993055555556,47.53472222222222,49.85590277777778,48.875,51.501736111111114,50.17881944444444,48.09375,44.05381944444444,50.37152777777778,50.28472222222222,50.736111111111114,48.848958333333336,45.088541666666664,48.23784722222222,43.822916666666664,44.77430555555556,43.002604166666664,46.885416666666664,45.388888888888886,45.32118055555556,46.822048611111114,46.748263888888886,50.32465277777778,48.837673611111114,49.35243055555556,53.973958333333336,55.0546875,48.57725694444444,52.16840277777778,46.84722222222222,53.981770833333336,51.28993055555556,50.307291666666664,49.25,48.60069444444444
202206,52.15931372549019,47.3014705882353,50.10294117647059,49.041666666666664,52.10539215686274,53.193627450980394,48.655853517877745,43.020833333333336,49.661764705882355,51.75735294117647,50.44607843137255,47.541666666666664,43.89093137254902,44.5625,45.61764705882353,45.745098039215684,43.458333333333336,45.87867647058823,44.40196078431372,43.463235294117645,44.79044117647059,45.004901960784316,48.96078431372549,45.98039215686274,45.231617647058826,47.91421568627451,55.504901960784316,48.38725490196079,49.16421568627451,46.193627450980394,58.03186274509804,47.08578431372549,49.518382352941174,46.036764705882355,51.7671568627451
202207,47.67045454545455,40.73295454545455,45.291666666666664,42.81155303030303,44.08806818181818,46.54356060606061,43.92123440285205,36.49810606060606,41.89393939393939,41.246212121212125,42.697916666666664,41.547348484848484,39.63636363636363,38.365530303030305,38.03030303030303,38.97348484848485,38.09090909090909,39.979166666666664,40.01136363636363,40.00568181818182,39.208333333333336,40.68087121212121,43.40909090909091,44.08901515151515,42.98295454545455,45.16287878787879,51.047348484848484,41.90056818181818,46.91193181818182,44.22159090909091,44.97348484848485,38.28787878787879,38.28409090909091,39.95075757575758,38.24431818181818
202208,32.333333333333336,28.93452380952381,30.642857142857142,31.46279761904762,31.133928571428573,30.952380952380953,32.288690476190474,29.3125,29.907738095238095,28.169642857142858,32.364583333333336,30.842261904761905,25.782738095238095,28.882440476190474,27.06845238095238,26.592261904761905,25.821428571428573,25.633928571428573,27.18154761904762,30.334821428571427,28.425595238095237,30.172619047619047,28.586309523809526,31.06845238095238,32.013392857142854,35.80357142857143,35.31547619047619,31.235119047619047,30.657738095238095,32.523809523809526,38.083333333333336,28.470238095238095,29.205357142857142,30.375,28.517857142857142
202209,83.98717948717949,74.61057692307692,79.01602564102564,81.09455128205128,80.26602564102564,76.86217948717949,81.89583333333333,71.38141025641026,82.91025641025641,77.06570512820512,82.25,78.79166666666667,70.32852564102564,72.29166666666667,66.6025641025641,66.64423076923077,65.61057692307692,65.6025641025641,66.99358974358974,71.24839743589743,68.80128205128206,67.59134615384616,69.46474358974359,78.22275641025641,73.51602564102564,87.71474358974359,92.42948717948718,76.3349358974359,71.96474358974359,77.76282051282051,92.48076923076923,67.71955128205128,71.21634615384616,73.64423076923077,74.35897435897436
202210,66.85849056603773,62.76145552560647,66.63072776280323,66.0,65.96630727762803,62.935309973045825,67.1866576819407,57.42857142857143,65.6765498652291,65.99393530997304,68.93059299191374,64.92183288409703,61.57277628032345,62.698113207547166,56.47978436657682,57.536388140161726,56.3355795148248,57.02088948787062,57.03032345013477,59.61725067385445,58.902964959568735,62.211590296495956,60.214285714285715,65.19541778975741,62.804582210242586,70.53369272237197,69.43935309973045,68.7122641509434,60.860512129380055,64.32210242587601,77.294474393531,61.72371967654986,66.23315363881402,65.89622641509433,62.110512129380055
202211,78.06944444444444,72.00694444444444,75.06666666666666,76.11666666666666,72.65,72.4625,73.68888888888888,69.1361111111111,75.12083333333334,75.8638888888889,76.16875,72.91597222222222,63.12847222222222,65.24305555555556,60.13055555555555,58.87986111111111,56.69166666666667,57.5625,58.19166666666667,59.3125,57.44861111111111,69.925,69.06736111111111,69.52361111111111,63.86388888888889,80.625,81.04097222222222,76.64722222222223,77.0875,77.27777777777777,86.77638888888889,68.9875,72.94583333333334,78.21388888888889,74.12708333333333
202212,50.7722972972973,49.71081081081081,49.877027027027026,50.25,49.42364864864865,49.36081081081081,52.74932432432433,48.383783783783784,58.86891891891892,56.366216216216216,56.22432432432432,53.696621621621624,45.91621621621621,50.32702702702703,42.832432432432434,49.42162162162162,47.82027027027027,41.366216216216216,40.78648648648649,43.024324324324326,40.50810810810811,47.53918918918919,47.16689189189189,46.48243243243243,44.66148648648649,54.43783783783784,53.96081081081081,59.9445945945946,55.622972972972974,53.31621621621622,61.92702702702703,52.185135135135134,52.67702702702703,51.4472972972973,55.05608108108108
