month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
202101,33.39961811238407,38.15302782324059,36.38052373158756,33.04909983633388,39.12165848336061,31.511456628477905,19.684397163120565,19.476268412438625,21.53027823240589,19.217675941080195,20.106382978723403,28.623567921440262,39.280687397708675,39.70471903982542,28.07937806873977,37.61947626841244
202102,29.17476851851852,30.78587962962963,31.899305555555557,31.416666666666668,26.02777777777778,25.58564814814815,16.224151234567902,14.957175925925926,17.59259259259259,18.118055555555557,17.921296296296298,24.53009259259259,30.172453703703702,31.20659722222222,21.466435185185187,27.40509259259259
202103,37.25672043010753,40.72379032258065,45.90154569892473,39.2755376344086,40.03293010752688,38.26881720430107,27.58243727598566,26.014112903225808,27.743279569892472,28.100806451612904,25.000672043010752,38.116263440860216,42.65725806451613,40.29491487455197,32.23118279569893,34.13978494623656
202104,28.418560606060606,27.841382575757574,35.06912878787879,31.66003787878788,28.713068181818183,30.150568181818183,19.715277777777775,21.086174242424242,16.009469696969695,22.896780303030305,20.379734848484848,28.992424242424242,34.29450757575758,30.88147095959596,26.21780303030303,25.59753787878788
202105,22.44885598923284,23.680349932705248,29.111036339165544,26.087483176312247,20.98384925975774,24.563257065948857,14.907806191117093,16.942799461641993,13.15477792732167,17.514804845222073,14.232166890982503,20.33008075370121,25.061238223418574,22.14457155675191,21.008748317631223,18.129205921938087
202106,22.361915367483295,20.965478841870823,25.838530066815146,23.711024498886413,16.536748329621382,21.911469933184854,14.623979213066074,15.478285077951002,11.810690423162583,14.81403118040089,11.14086859688196,17.280066815144767,22.639755011135858,20.401076466221234,18.889755011135858,18.108017817371937
202107,19.309811827956988,18.266129032258064,18.936155913978496,19.611559139784948,12.256720430107526,18.47782258064516,9.81339605734767,9.645833333333334,8.955645161290322,8.381720430107526,5.261424731182796,11.095430107526882,17.692204301075268,15.153897849462366,13.907930107526882,13.34274193548387
202108,19.711622807017545,20.173793859649123,18.464912280701753,20.07017543859649,13.994517543859649,14.015350877192983,11.123172514619883,10.507127192982455,9.116228070175438,10.106359649122806,5.961622807017544,12.471491228070175,20.424342105263158,15.783625730994151,13.74671052631579,12.679824561403509
202109,27.863888888888887,28.47222222222222,27.897916666666667,24.333333333333332,19.338194444444444,25.738194444444446,13.233333333333333,13.006944444444445,11.449305555555556,13.15625,8.15,16.143055555555556,28.398611111111112,23.749189814814816,19.62152777777778,17.553472222222222
202110,36.50948509485095,42.643631436314365,37.49254742547426,32.643631436314365,32.020325203252035,34.02371273712737,20.251580849141824,19.543360433604335,15.5210027100271,23.459349593495936,19.55149051490515,30.93631436314363,42.549457994579946,38.418247515808496,26.035230352303522,26.16260162601626
202111,40.12352941176471,46.241176470588236,42.387058823529415,38.47529411764706,41.98117647058824,41.14,27.037254901960786,23.896470588235292,26.129411764705882,24.72705882352941,28.81529411764706,32.67058823529412,44.93764705882353,45.39980392156863,35.184705882352944,35.99411764705882
202112,39.79771505376344,47.26142473118279,44.97211021505376,39.368951612903224,42.9630376344086,41.88306451612903,27.578853046594983,24.092741935483872,25.74462365591398,27.490591397849464,28.683467741935484,35.479838709677416,46.891801075268816,47.87757616487455,34.33534946236559,36.847446236559136
